,bee,lecty,lifestyle,host.plant,source,min.day,max.day,med.day,n.day,n.obs,n.spec,phen,wmpd,n.lect,s.lect,cucurbit,sunflower,tomato
197,Tetraloniella pomonae,NA,NA,NA,,171,262,171,6,7,12,91,128,5,4,0,0,0
198,Triepeolus concavus,NA,parasite,NA,,174,280,200,19,20,49,106,29,49,5,0,0,0
199,Triepeolus melanarius,NA,parasite,NA,,162,258,202,23,26,49,96,74,49,7,0,0,0
200,Triepeolus paenepectoralis,NA,NA,NA,,200,257,228.5,2,2,2,57,NA,2,1,0,0,0
201,Triepeolus subnitens,NA,parasite,NA,,161,234,200,27,34,130,73,13,128,6,0,0,0
202,Triepeolus timberlakei,NA,NA,NA,,157,267,201.5,9,10,12,110,166,12,7,0,0,0
203,Triepeolus utahensis,NA,NA,NA,,137,272,203,53,66,422,135,22,416,12,0,0,0
204,Xeromelecta californica,NA,parasite,NA,,134,267,218,11,12,17,133,106,17,7,0,0,0
205,Xylocopa tabaniformis,poly,solitary,NA,,86,263,153,43,56,81,177,190,80,28,0,0,0
206,Xylocopa varipuncta,poly,solitary,NA,,89,286,152,35,35,47,197,189,47,20,0,0,0
